X,Y,OBJECTID,COUNTY_NAM,CONST_CODE,CONSTITUEN,COUNTY_ASS,COUNTY_A_1,REGIST_CEN,REGISTRATI,COUNTY_COD,Shape_Leng,Shape_Area
36.8632635504289,-1.27761022848657,1,NAIROBI,288,KAMUKUNJI,0,,0,,47,0.16463159484,0.00097789543
36.7959672175536,-1.23488295793139,2,NAIROBI,274,WESTLANDS,0,,0,,47,0.412418271,0.00590940422
36.7748967790557,-1.27979482959123,3,NAIROBI,275,DAGORETTI NORTH,0,,0,,47,0.23240904878,0.00238495981
36.8791986940143,-1.21056136422448,4,NAIROBI,279,ROYSAMBU,0,,0,,47,0.38435691792,0.00390835085
36.829362482459,-1.29261937965507,5,NAIROBI,289,STAREHE,0,,0,,47,0.20691462512,0.0013252425
36.8136087326114,-1.36936213814476,6,NAIROBI,277,LANGATA,0,,0,,47,0.85501283095,0.01695002792
36.7128135691764,-1.28339242438113,7,NAIROBI,276,DAGORETTI SOUTH,0,,0,,47,0.27504846949,0.00198705385
37.0143108788301,-1.25480475938209,8,NAIROBI,280,KASARANI,0,,0,,47,0.72368735459,0.01106947106
36.8784409890521,-1.24832228869172,9,NAIROBI,281,RUARAKA,0,,0,,47,0.17518274743,0.00058465551
36.780310853848,-1.30674986964393,10,NAIROBI,278,KIBRA,0,,0,,47,0.20791276766,0.00107963649
36.871187137979,-1.25844598934136,11,NAIROBI,290,MATHARE,0,,0,,47,0.11037446801,0.00023579934
39.6820594644328,-3.98183922338885,12,MOMBASA,3,KISAUNI,9,MJAMBERE,0,,1,0.52664125713,0.00833934322
39.6609099165519,-4.05421220036025,13,MOMBASA,6,MVITA,27,TUDOR,0,,1,0.16069602318,0.00145444635
39.6075504400832,-3.9926573037328,14,MOMBASA,2,JOMVU,8,MIKINDANI,0,,1,0.35435783122,0.00358542502
39.7027479082927,-4.0343750001082,15,MOMBASA,4,NYALI,16,FRERE TOWN,0,,1,0.20497240809,0.00224195553
39.6470915739422,-4.1029106630843,16,MOMBASA,5,LIKONI,21,MTONGWE,0,,1,0.41795551234,0.00484670774
39.2419873220475,-3.94407435064269,17,KWALE,10,KINANGO,47,MACKINNON ROAD,0,,2,3.86298161214,0.39364001537
39.473850134152,-4.24018603076856,18,KWALE,9,MATUGA,0,,0,,2,1.86644313611,0.09759227557
39.1735422597541,-4.4978462776867,19,KWALE,8,LUNGA LUNGA,0,,0,,2,2.49277229975,0.1901631373
39.4974604898154,-4.45969945967058,20,KWALE,7,MSAMBWENI,31,GOMBATO BONGWE,0,,2,1.2660909895,0.07672823594
39.5386755810791,-3.77525128698636,21,KILIFI,13,KALOLENI,63,MARIAKANI,0,,3,1.39461712732,0.05901884101
39.4657365971779,-3.43916117857077,22,KILIFI,15,GANZE,74,SOKOKE,0,,3,2.53314450941,0.23884174415
39.8664271640191,-3.50150850949881,23,KILIFI,11,KILIFI NORTH,55,MATSANGONI,0,,3,2.47647272332,0.06379362004
39.7612477755352,-3.81474098009862,24,KILIFI,12,KILIFI SOUTH,61,CHASIMBA,0,,3,1.02411262714,0.03250621628
39.8076460535298,-2.83271608147942,25,KILIFI,17,MAGARINI,0,,0,,3,3.81497697997,0.56468520309
39.600709521162,-3.91694394714765,26,KILIFI,14,RABAI,69,KAMBE/RIBE,0,,3,0.67819937964,0.01631937548
39.903667477446,-3.23475373019318,27,KILIFI,16,MALINDI,0,,0,,3,1.66527391737,0.04959815927
39.5471744079858,-1.5076116971464,28,TANA RIVER,19,GALOLE,0,,0,,4,4.35067976806,0.78719036846
39.3016045656885,-0.653851865263874,29,TANA RIVER,20,BURA,0,,0,,4,4.96361804264,1.105003532
39.2119831123888,-2.42890639577103,30,TANA RIVER,18,GARSEN,86,KIPINI EAST,0,,4,6.29287341652,1.29221156398
40.5939722472084,-2.19880441645841,31,LAMU,22,LAMU WEST,0,,0,,5,2.83004277557,0.39884225287
41.1782670827539,-2.00660563005917,32,LAMU,21,LAMU EAST,101,FAZA,0,,5,2.51612327153,0.34494390356
38.2707182770089,-3.30204607074655,33,TAITA TAVETA,24,WUNDANYI,0,,0,,6,1.20100658457,0.06912465388
38.8115884898976,-3.40959049340521,34,TAITA TAVETA,26,VOI,127,KALOLENI,0,,6,6.25601735134,0.76972117832
38.2922834631148,-3.73661567142068,35,TAITA TAVETA,25,MWATATE,120,RONG'E,0,,6,3.08799330213,0.22879955927
37.8596149622976,-3.4474924499775,36,TAITA TAVETA,23,TAVETA,0,,0,,6,3.38711937137,0.32592394203
39.3096643915113,0.000078565556112,37,GARISSA,28,BALAMBALA,136,DANYERE,0,,7,4.18444690121,0.30482520724
41.0566793048921,-1.43589538142066,38,GARISSA,32,IJARA,0,,0,,7,4.94856433122,0.66799716274
40.2616840782822,0.062242972109407,39,GARISSA,30,DADAAB,0,,0,,7,4.72519488416,0.6092248128
39.7513843637416,-0.422315271408659,40,GARISSA,27,GARISSA TOWNSHIP,135,BALAMBALA,0,,7,2.19594340866,0.08783174673
40.4359242388666,-0.785108935333985,41,GARISSA,31,FAFI,0,,0,,7,5.274880348,1.34737986856
39.2228556854839,0.498033588201006,42,GARISSA,29,LAGDERA,142,GOREALE,0,,7,4.05938388846,0.52431671136
39.670984255091,1.66304194286199,43,WAJIR,36,WAJIR WEST,0,,0,,8,4.20360233137,0.60005365127
39.7439499361768,3.11915826144266,44,WAJIR,33,WAJIR NORTH,0,,0,,8,4.66249260053,0.78736310084
40.2407907184406,0.960771252738265,45,WAJIR,38,WAJIR SOUTH,0,,0,,8,5.30734876302,1.75347524911
40.2518717826775,2.37736754669482,46,WAJIR,35,TARBAJ,0,,0,,8,3.60459985777,0.61331863527
39.1399926515323,2.19224736952885,47,WAJIR,37,ELDAS,0,,0,,8,4.2462998581,0.5038039607
40.7084910586049,2.00273415186344,48,WAJIR,34,WAJIR EAST,0,,0,,8,2.97250013587,0.34772734346
40.7568376843861,2.75154285338182,49,MANDERA,42,MANDERA SOUTH,0,,0,,9,3.69356552404,0.4684483073
40.6840929484876,3.66325569700135,50,MANDERA,41,MANDERA NORTH,0,,0,,9,3.28757365155,0.45325084032
40.0587392973818,3.45515653362862,51,MANDERA,39,MANDERA WEST,0,,0,,9,3.24112404361,0.42113148052
40.5186345123825,3.99543967061893,52,MANDERA,40,BANISSA,0,,0,,9,2.80810143873,0.27541974749
37.5398157996265,3.17375365069566,53,MARSABIT,46,NORTH HORR,0,,0,,10,8.77655121155,3.29984172233
38.8482236949908,2.90205568566127,54,MARSABIT,45,MOYALE,0,,0,,10,4.7709721161,0.76016953224
37.3035945467431,2.30195913043241,55,MARSABIT,48,LAISAMIS,0,,0,,10,8.58393281549,1.95675866673
37.9502707223004,2.37355265733828,56,MARSABIT,47,SAKU,0,,0,,10,1.64637709122,0.16587845788
38.3916284474085,1.17964334323236,57,ISIOLO,49,ISIOLO NORTH,0,,0,,11,9.04759834469,1.24486142404
38.4533143654232,0.559068329343481,58,ISIOLO,50,ISIOLO SOUTH,0,,0,,11,5.17191631367,0.81872621553
37.6933018552781,0.041369005527862,59,MERU,56,NORTH IMENTI,0,,0,,12,1.12813107122,0.0245102849
37.7445138969419,0.168169214915805,60,MERU,54,TIGANIA WEST,0,,0,,12,1.12813127907,0.03173450753
37.6170393486698,-0.119885496818493,61,MERU,59,SOUTH IMENTI,0,,0,,12,1.29915206482,0.05365538777
37.4186260688371,0.086442667267746,62,MERU,57,BUURI,0,,0,,12,1.84458574565,0.1285706218
38.1456397971695,0.096849661976851,63,MERU,51,IGEMBE SOUTH,0,,0,,12,1.68209675567,0.0684808977
37.8699046669202,0.322161803612389,64,MERU,52,IGEMBE CENTRAL,0,,0,,12,2.10154588645,0.06474733356
37.7843486754795,0.268053334388113,65,MERU,55,TIGANIA EAST,0,,0,,12,1.65803925967,0.06764195489
37.7916397345885,-0.051709793852494,66,MERU,58,CENTRAL IMENTI,0,,0,,12,1.51707246538,0.04094944906
37.9783062408439,0.486467577177728,67,MERU,53,IGEMBE NORTH,0,,0,,12,1.28028794534,0.08733916465
37.6497365272695,-0.236401670619812,68,THARAKA - NITHI,60,MAARA,0,,0,,13,1.30710222684,0.04102500155
37.998387165127,-0.18040273412025,69,THARAKA - NITHI,62,THARAKA,0,,0,,13,1.9446559998,0.12000381014
37.5455154545054,-0.303143632304682,70,THARAKA - NITHI,61,CHUKA/IGAMBANG'OMBE,0,,0,,13,1.56198479205,0.04850426131
37.4961356312192,-0.338788784424008,71,EMBU,64,RUNYENJES,64,,0,,14,1.22773366211,0.02712924215
37.7913227152779,-0.506025443453534,72,EMBU,66,MBEERE NORTH,0,,0,,14,1.50870036336,0.06256518327
37.4490972076565,-0.375684727945883,73,EMBU,63,MANYATTA,0,,0,,14,1.16633840286,0.03208813624
37.7054319038865,-0.7295655502303,74,EMBU,65,MBEERE SOUTH,0,,0,,14,2.19815278637,0.10743064251
